"","Organization","Organization_Legal_Name","Country_Organization_Account","Report_Title","Publication_Year","Release_Date","Report_Type","Claim","Period_From","Period_To","Report_PDF_Address","Report_claim_location_PDF","Content_index_location_PDF","Report_HTML_Address","Content_Index_URL","Report_claim_location_URL","Report_DRT_Address","Report_Claim_Location_DRT","Content_index_location_DRT","pdf_contents_page","folder","filename","request_status"
"1108","EP Infrastructure","EP Infrastructure, a.s.","Czech Republic","EP Infrastructure Sustainability Report 2018",2019,"11-09-19","GRI-Standards","In accordance - Core","01-01-18","31-12-18","https://www.epinfrastructure.cz/wp-content/uploads/2019_09_11__EPIF_SR_2018_FINAL-landscape.pdf","11","70","","","","","","","70","ep_infrastructu","ep_infrastructure_sustainability_report_2018.pdf","200"
"2760","SERVAGEN CISNEROS SAC","SERVICIOS Y ACTIVIDADES GENERALES NAVALES CISNEROS SOCIEDAD ANONIMA CERRADA","Peru","REPORTE DE SOSTENIBILIDAD 2018",2019,"16-04-19","GRI-Standards","GRI-Referenced","01-01-18","31-12-18","www.csrcb.per.pdf.com","24","25","","","","","","","25","servagen_cisner","reporte_de_sostenibilidad_2018.pdf",""
"2413","P.A. PERU","P.A. PERU S.A.C.","Peru","REPORTE DE SOSTENIBILIDAD PA PERU SAC 2018",2019,"15-05-19","GRI-Standards","GRI-Referenced","01-01-18","31-12-18","https://docs.google.com/document/d/1dGx3MfTXfDSwQM1Sq_rkQ_U1M1TqDjlltT5vd92Y228/edit","p. 23","p. 2","","","","","","","2","pa_peru","reporte_de_sostenibilidad_pa_peru_sac_2018.pdf","200"
"350","Banco de Credito del Peru (BCP)","Banco de Credito del Peru S.A.","Peru","Reporte de Sostenibilidad 2018",2019,"27-03-19","GRI-Standards","In accordance - Core","01-01-18","31-12-18","https://ww3.viabcp.com/Connect/ViaBCP2019/Relaciones%20con%20Inversionistas/Reporte%20de%20Sostenibilidad%20BCP%202018%20Final.pdf","p. 91","p. 97","","","","","","","97","banco_de_credit","reporte_de_sostenibilidad_2018.pdf","200"
"216","Area de Administracion - Poder Judicial de la Provincia de Cordoba","Poder Judicial de la Provincia de Cordoba","Argentina","Reporte de Sustentabilidad",2019,"15-05-19","GRI-Standards","In accordance - Core","01-01-18","30-09-18","https://www.justiciacordoba.gob.ar/Estatico/justiciaCordoba/files/Contenido/Administracion/Reporte%20de%20Sustentabilidad%20Administraci%C3%B3n%20%C3%81rea%20de%20Administraci%C3%B3n%20-Poder%20Judicial%20FINAL%20SELLO%20GRI.pdf","11","105","","","","","","","105","area_de_adminis","reporte_de_sustentabilidad.pdf","200"
